Year,location,commodity,category,price_per_kg
2025,Khagrachhari,Ruhi (Local) - small (1.50-2.00 kg),Fish,315.29
2025,Khagrachhari,Shrimp-small,Fish,855.15
2025,Khagrachhari,Silver Carp,Fish,164.49
2025,Khagrachhari,Singhi,Fish,395.0
2025,Khagrachhari,Sonali Chicken,Chicken,300.51
2025,Khagrachhari,Telapia/Nilotica,Fish,203.6
2025,Khulna,Chinigura Rice,Rice,114.38
2025,Khulna,Farm-raised Hen,Chicken,171.78
2025,Khulna,Hilsha (500-900) gm,Fish,1492.31
2025,Khulna,Katla-Small (1.50-2.00 kg),Fish,304.82
2025,Khulna,Local Hen - Big (above 900 gm),Chicken,528.01
2025,Khulna,Local Hen - Small (500-650 gm),Chicken,528.01
2025,Khulna,Pangash (big),Fish,179.86
2025,Khulna,Rice - Boro - Hybrid - Coarse,Rice,54.77
2025,Khulna,Rice - Boro - Hybrid - Medium,Rice,65.97
2025,Khulna,Rice-Boro-Hybrid -Fine,Rice,79.29
2025,Khulna,Ruhi (Local) - small (1.50-2.00 kg),Fish,322.96
2025,Khulna,Shrimp-small,Fish,630.09
2025,Khulna,Sonali Chicken,Chicken,259.63
2025,Kishoreganj,Chinigura Rice,Rice,125.78
2025,Kishoreganj,Farm-raised Hen,Chicken,157.31
2025,Kishoreganj,Katla-Small (1.50-2.00 kg),Fish,320.0
2025,Kishoreganj,Local Hen - Medium (700-850 gm),Chicken,510.0
2025,Kishoreganj,Local Hen - Small (500-650 gm),Chicken,455.0
2025,Kishoreganj,Mregal-small,Fish,210.0
2025,Kishoreganj,Pangash (big),Fish,182.24
2025,Kishoreganj,Rice - Aman - Medium,Rice,52.5
2025,Kishoreganj,Rice - Aman - Pajam,Rice,78.65
2025,Kishoreganj,Rice - Boro - Hybrid - Coarse,Rice,49.3
2025,Kishoreganj,Rice - Boro - Hybrid - Medium,Rice,66.16
2025,Kishoreganj,Ruhi (Local) - small (1.50-2.00 kg),Fish,341.29
2025,Kishoreganj,Sonali Chicken,Chicken,279.74
2025,Kurigram,Farm-raised Hen,Chicken,154.22
2025,Kurigram,Katla-Small (1.50-2.00 kg),Fish,275.44
2025,Kurigram,Local Hen - Medium (700-850 gm),Chicken,461.73
2025,Kurigram,Pangash (big),Fish,161.88
2025,Kurigram,Rice - Boro - Hybrid - Coarse,Rice,52.37
2025,Kurigram,Rice - Boro - Hybrid - Medium,Rice,60.0
2025,Kurigram,Rice-Boro-Hybrid -Fine,Rice,75.39
2025,Kurigram,Ruhi (Local) - small (1.50-2.00 kg),Fish,306.03
2025,Kurigram,Silver Carp,Fish,163.86
2025,Kurigram,Telapia/Nilotica,Fish,198.35
2025,Kushtia,Farm-raised Hen,Chicken,164.83
