Division,District,Upazila,Market Name,Commodity Name,Year,Retail Unit,Retail Price,Average Price,Whole Sale Unit,Wholesale price,Average Price
Chattagram,Brahmanbaria,Bijoynagar,Amtoli Bazar,Rice-Boro-Hybrid -Fine,2026,Kilogram,71.31--85.1,78.21,Quintal,"6,575.76--7,908.08","7,241.92"
Chattagram,Rangamati,Rangamati Sadar,Rangamati Sadar Bazar,Rice - Aman-Fine,2025,Kilogram,82.25--85.73,83.99,Quintal,"7,721.05--8,084.96","7,903.01"
Chattagram,Rangamati,Rangamati Sadar,Rangamati Sadar Bazar,Rice - Aman - Medium,2025,Kilogram,68.54--72.19,70.36,Quintal,"6,400--6,751.88","6,575.94"
Chattagram,Rangamati,Rangamati Sadar,Rangamati Sadar Bazar,Rice - Aman - Coarse,2025,Kilogram,51.32--54.68,53,Quintal,"4,768.42--5,018.8","4,893.61"
Chattagram,Rangamati,Rangamati Sadar,Rangamati Sadar Bazar,Rice-Boro-Hybrid -Fine,2025,Kilogram,79.25--82.45,80.85,Quintal,"7,473.68--7,781.95","7,627.82"
Chattagram,Rangamati,Rangamati Sadar,Rangamati Sadar Bazar,Rice - Atap,2025,Kilogram,51.05--52.96,52.01,Quintal,"4,686.47--4,871.43","4,778.95"
Chattagram,Rangamati,Rangamati Sadar,Rangamati Sadar Bazar,Rice - Boro - Hybrid - Medium,2025,Kilogram,67.67--71.58,69.62,Quintal,"6,314.29--6,705.26","6,509.77"
Chattagram,Rangamati,Rangamati Sadar,Rangamati Sadar Bazar,Rice - Boro - Hybrid - Coarse,2025,Kilogram,50.8--54.44,52.62,Quintal,"4,784.21--4,983.46","4,883.83"
Chattagram,Rangamati,Rangamati Sadar,Rangamati Sadar Bazar,Chinigura Rice,2025,Kilogram,133.91--140.64,137.27,Quintal,"12,502.26--12,930.83","12,716.54"
Chattagram,Rangamati,Rangamati Sadar,Rangamati Sadar Bazar,Kataribhog,2025,Kilogram,90.09--94.68,92.38,Quintal,"8,314.29--8,800","8,557.14"
Chattagram,Rangamati,Rangamati Sadar,Rangamati Sadar Bazar,Rice - Aman-Fine,2026,Kilogram,79.45--84.41,81.93,Quintal,"7,500--8,000","7,750"
Chattagram,Rangamati,Rangamati Sadar,Rangamati Sadar Bazar,Rice - Aman - Medium,2026,Kilogram,63.66--68.62,66.14,Quintal,"5,928.28--6,410.34","6,169.31"
Chattagram,Rangamati,Rangamati Sadar,Rangamati Sadar Bazar,Rice - Aman - Coarse,2026,Kilogram,49.66--52.13,50.89,Quintal,"4,600--4,800","4,700"
Chattagram,Rangamati,Rangamati Sadar,Rangamati Sadar Bazar,Rice-Boro-Hybrid -Fine,2026,Kilogram,72.46--77.4,74.93,Quintal,"6,874.48--7,315.17","7,094.83"
Chattagram,Rangamati,Rangamati Sadar,Rangamati Sadar Bazar,Rice - Atap,2026,Kilogram,45.99--48.37,47.18,Quintal,"4,326.21--4,526.21","4,426.21"
Chattagram,Rangamati,Rangamati Sadar,Rangamati Sadar Bazar,Rice - Boro - Hybrid - Medium,2026,Kilogram,61.99--67.45,64.72,Quintal,"5,800--6,293.1","6,046.55"
Chattagram,Rangamati,Rangamati Sadar,Rangamati Sadar Bazar,Rice - Boro - Hybrid - Coarse,2026,Kilogram,50.46--54.62,52.54,Quintal,"4,699.31--5,000","4,849.66"
Chattagram,Rangamati,Rangamati Sadar,Rangamati Sadar Bazar,Chinigura Rice,2026,Kilogram,147.86--157.17,152.52,Quintal,"13,798.62--14,281.38","14,040"
Chattagram,Rangamati,Rangamati Sadar,Rangamati Sadar Bazar,Kataribhog,2026,Kilogram,88.04--92.34,90.19,Quintal,"8,428.97--8,700.69","8,564.83"
Chattagram,Rangamati,Kaptai,Kaptai Bazar,Rice - Aman-Fine,2026,Kilogram,80--85,82.5,Quintal,"7,500--8,000","7,750"
Chattagram,Rangamati,Kaptai,Kaptai Bazar,Rice - Aman - Medium,2026,Kilogram,62--64,63,Quintal,"5,800--6,200","6,000"
Chattagram,Rangamati,Kaptai,Kaptai Bazar,Rice - Aman - Coarse,2026,Kilogram,48--50,49,Quintal,"4,500--4,800","4,650"
Chattagram,Rangamati,Kaptai,Kaptai Bazar,Chinigura Rice,2026,Kilogram,164.04--169.04,166.54,Quintal,"15,683.15--15,865.17","15,774.16"
