Division,District,Upazila,Market Name,Commodity Name,Year,Retail Unit,Retail Price,Average Price,Whole Sale Unit,Wholesale price,Average Price
Chattagram,Chandpur,Chandpur Sadar,Chandpur Sadaar,Broiler chicken,2026,Kilogram,171.4--176.46,173.93,Quintal,"25,120.38--16,422.29","20,771.34"
Chattagram,Chandpur,Chandpur Sadar,Chandpur Sadaar,Sonali Chicken,2026,Kilogram,297.77--374.68,336.23,Quintal,"27,656.05--28,269.43","27,962.74"
Chattagram,Chandpur,Hajiganj,Hajiganj Bazar,Broiler chicken,2026,Kilogram,131.25--135,133.13,Quintal,"12,000--12,375","12,187.50"
Chattagram,Chandpur,Hajiganj,Hajiganj Bazar,Sonali Chicken,2026,Kilogram,208.75--215,211.88,Quintal,"19,625--20,375","20,000"
Chattagram,Lakshmipur,Lakshmipur Sadar,"Sadar Bazar, Lakshmipur",Local Hen - Medium (700-850 gm),2025,Kilogram,520--550,535,Quintal,"48,000--49,000","48,500"
Chattagram,Lakshmipur,Lakshmipur Sadar,"Sadar Bazar, Lakshmipur",Farm-raised Hen,2025,Kilogram,158.7--164.8,161.75,Quintal,"13,279.53--13,680.31","13,479.92"
Chattagram,Lakshmipur,Lakshmipur Sadar,"Sadar Bazar, Lakshmipur",Sonali Chicken,2025,Kilogram,264.33--277.48,270.91,Quintal,"23,653.54--24,231.5","23,942.52"
Chattagram,Lakshmipur,Lakshmipur Sadar,"Sadar Bazar, Lakshmipur",Farm-raised Hen,2026,Kilogram,169.62--167.08,168.35,Quintal,"14,863--15,508.67","15,185.83"
Chattagram,Lakshmipur,Lakshmipur Sadar,"Sadar Bazar, Lakshmipur",Sonali Chicken,2026,Kilogram,290.27--304.27,297.27,Quintal,"25,773.33--24,329.33","25,051.33"
Chattagram,Lakshmipur,Raipur,Raipur Bazar,Broiler chicken,2026,Kilogram,171.14--176.87,174,Quintal,"15,282.46--15,653.51","15,467.98"
Chattagram,Chattogram,Chattogram City Corporation,Chittagong Sadar Bazar,Local Hen - Medium (700-850 gm),2025,Kilogram,551.82--563.64,557.73,Quintal,"50,363.64--53,181.82","51,772.73"
Chattagram,Chattogram,Chattogram City Corporation,Chittagong Sadar Bazar,Broiler chicken,2025,Kilogram,150.68--157.95,154.32,Quintal,"13,863.64--14,431.82","14,147.73"
Chattagram,Chattogram,Chattogram City Corporation,Chittagong Sadar Bazar,Sonali Chicken,2025,Kilogram,275.23--283.18,279.2,Quintal,"25,750--26,500","26,125"
Chattagram,Chattogram,Chattogram City Corporation,Chittagong Sadar Bazar,Local Hen - Medium (700-850 gm),2026,Kilogram,615.46--638.76,627.11,Quintal,"57,477.12--58,875.82","58,176.47"
Chattagram,Chattogram,Chattogram City Corporation,Chittagong Sadar Bazar,Broiler chicken,2026,Kilogram,170.74--176.14,173.44,Quintal,"15,643.14--16,106.54","15,874.84"
Chattagram,Chattogram,Chattogram City Corporation,Chittagong Sadar Bazar,Sonali Chicken,2026,Kilogram,322.71--335.95,329.33,Quintal,"29,996.73--30,935.29","30,466.01"
Chattagram,Coxsbazar,Coxsbazar Sadar,Cox's Bazar Sadar,Local Hen - Big (above 900 gm),2025,Kilogram,548.64--580.93,564.79,Quintal,"51,625--54,682.14","53,153.57"
Chattagram,Coxsbazar,Coxsbazar Sadar,Cox's Bazar Sadar,Broiler chicken,2025,Kilogram,168.11--174.21,171.16,Quintal,"14,953.57--15,571.43","15,262.50"
Chattagram,Coxsbazar,Coxsbazar Sadar,Cox's Bazar Sadar,Sonali Chicken,2025,Kilogram,283.54--294.21,288.88,Quintal,"25,914.29--26,942.86","26,428.57"
Chattagram,Coxsbazar,Coxsbazar Sadar,Cox's Bazar Sadar,Local Hen - Big (above 900 gm),2026,Kilogram,626.37--663.95,645.16,Quintal,"59,694.27--63,385.35","61,539.81"
Chattagram,Coxsbazar,Coxsbazar Sadar,Cox's Bazar Sadar,Broiler chicken,2026,Kilogram,179.21--185.1,182.15,Quintal,"16,750.32--17,302.55","17,026.43"
Chattagram,Coxsbazar,Coxsbazar Sadar,Cox's Bazar Sadar,Sonali Chicken,2026,Kilogram,302.17--311.59,306.88,Quintal,"28,200.64--29,098.73","28,649.68"
Chattagram,Coxsbazar,Chakaria,Chakaria Bazar,Local Hen - Big (above 900 gm),2026,Kilogram,563--595,579,Quintal,"53,800--57,000","55,400"
