Division,District,Upazila,Market Name,Commodity Name,Year,Retail Unit,Retail Price,Average Price,Whole Sale Unit,Wholesale price,Average Price
Chattagram,Rangamati,Rangamati Sadar,Rangamati Sadar Bazar,Telapia/Nilotica,2025,Kilogram,187.72--210.25,198.99,Quintal,"16,000--18,253.16","17,126.58"
Chattagram,Rangamati,Rangamati Sadar,Rangamati Sadar Bazar,Ruhi (Local) - small (1.50-2.00 kg),2026,Kilogram,345.52--369.72,357.62,Quintal,"32,800--34,979.31","33,889.66"
Chattagram,Rangamati,Rangamati Sadar,Rangamati Sadar Bazar,Ruhi (Imported) medium (2.50-4.50 kg),2026,Kilogram,386.21--440.48,413.34,Quintal,"35,296.55--40,448.28","37,872.41"
Chattagram,Rangamati,Rangamati Sadar,Rangamati Sadar Bazar,Katla-Medium (2.50-4.50 kg),2026,Kilogram,397.24--446.9,422.07,Quintal,"37,724.14--41,448.28","39,586.21"
Chattagram,Rangamati,Rangamati Sadar,Rangamati Sadar Bazar,Katla-Small (1.50-2.00 kg),2026,Kilogram,340--362,351,Quintal,"31,958.62--33,641.38","32,800"
Chattagram,Rangamati,Rangamati Sadar,Rangamati Sadar Bazar,Silver Carp,2026,Kilogram,258.21--278.07,268.14,Quintal,"24,000--26,000","25,000"
Chattagram,Rangamati,Rangamati Sadar,Rangamati Sadar Bazar,Telapia/Nilotica,2026,Kilogram,183.24--222.07,202.66,Quintal,"16,358.62--19,517.24","17,937.93"
Chattagram,Rangamati,Kaptai,Kaptai Bazar,Katla-Big (above 5 Kg),2026,Kilogram,729.78--829.78,779.78,Quintal,"61,642.7--71,420.22","66,531.46"
Chattagram,Rangamati,Kaptai,Kaptai Bazar,Katla-Medium (2.50-4.50 kg),2026,Kilogram,429.78--523.6,476.69,Quintal,"33,694.94--42,471.35","38,083.15"
Chattagram,Rangamati,Kaptai,Kaptai Bazar,Katla (Local),2026,Kilogram,350--450,400,Quintal,300--400,350
Chattagram,Rangamati,Kaptai,Kaptai Bazar,Mregal-big,2026,Kilogram,369.55--413.03,391.29,Quintal,"32,606.74--33,955.06","33,280.90"
Chattagram,Rangamati,Kaptai,Kaptai Bazar,Mregal-small,2026,Kilogram,250--260,255,Quintal,"20,000--22,000","21,000"
Chattagram,Rangamati,Kaptai,Kaptai Bazar,Ahire-small,2026,Kilogram,442.7--492.7,467.7,Quintal,"38,379.78--42,830.34","40,605.06"
Chattagram,Rangamati,Kaptai,Kaptai Bazar,Pangash (small),2026,Kilogram,220--245.39,232.7,Quintal,"18,000--20,000","19,000"
Chattagram,Rangamati,Kaptai,Kaptai Bazar,Pangash (big),2026,Kilogram,140--150,145,Quintal,"12,000--13,000","12,500"
Chattagram,Rangamati,Kaptai,Kaptai Bazar,Shrimp Golda,2026,Kilogram,"900--1,000",950,Quintal,"70,000--80,000","75,000"
